"defect_name","english_name","category","affected_breeds","cause","onset_age","symptom","diagnosis","prevention","treatment","severity","screening_advice","notes"
"甲状腺功能减退(自身免疫)","Autoimmune Thyroiditis","代谢","秋田犬；柴犬；哈士奇；金毛；杜宾；松狮","自身免疫性甲状腺炎；遗传倾向；产生抗甲状腺抗体","中年期(3-6岁)","嗜睡；体重增加；脱毛；皮肤问题；怕冷；行为改变； aggression(秋田)","T4；fT4；TSH；TgAA(自身抗体)","种犬甲状腺检测；避免近亲繁殖","左旋甲状腺素替代(终身)；定期监测","轻度","种犬年度甲状腺功能检测","秋田犬自身免疫倾向高发"
"分离焦虑/心理过度依赖","Separation Anxiety","其他","暹罗猫；东方短毛猫；斯芬克斯无毛猫","品种遗传性高社交需求；环境因素共同作用","幼年期开始","独处时过度叫声；破坏行为；过度舔毛；抑郁；食欲下降","病史；行为评估","充足陪伴；环境丰富化；逐步脱敏","行为训练；环境丰富化；信息素；严重者抗焦虑药","轻度","行为评估；早期社会化训练","暹罗猫等高社交品种高发"
"斜视","Strabismus","眼科","暹罗猫；东方短毛猫","遗传性；部分白化基因影响视神经交叉","出生或幼年期","双眼内斜或外斜；影响立体视觉；通常不严重影响生活质量","眼科检查；视觉评估","避免患病个体繁育","通常无需治疗；影响视力可手术矫正","轻度","种猫眼科检查","暹罗猫常见；与重点色基因相关"
"哮喘(猫)","Feline Asthma","呼吸","暹罗猫；东方短毛猫","遗传倾向；过敏原诱发气道炎症","幼年到成年(1-3岁)","咳嗽；喘息；呼吸困难；张口呼吸；运动不耐受","X光；支气管灌洗；排除其他疾病","避免过敏原；空气过滤器；不吸烟环境","糖皮质激素(吸入或口服)；支气管扩张剂；环境管理","中度","定期肺功能评估；环境控制","暹罗猫高发；终身管理"
"肿瘤易感性(金毛)","Cancer Predisposition","其他","金毛寻回犬；伯恩山犬；罗威纳","遗传性肿瘤易感；约60%金毛死于癌症","中老年(8岁以上)","取决于肿瘤类型；常见血管肉瘤、淋巴瘤、骨肉瘤","体检；血液检查；超声；活检","无明确预防；定期筛查","手术；化疗；放疗；靶向治疗；支持治疗","致死性","年度全面体检；老年期超声筛查","金毛约60%死于癌症；原因复杂"
"皮肤病(松狮)","Skin Problems","皮肤","松狮；秋田犬；沙皮","双层被毛结构遗传倾向；免疫相关皮肤病","幼年到成年","过敏性皮炎； hot spot；脓皮症；皮脂腺炎","皮肤检查；过敏原检测；活检","日常被毛护理；避免过敏原","药浴；抗菌药物；激素；免疫调节剂","中度","定期皮肤检查；被毛护理","双层毛犬种高发"
"耳部感染(遗传倾向)","Otitis Externa","皮肤","可卡犬；拉布拉多；金毛；巴吉度；沙皮","耳道结构遗传倾向；垂耳及狭窄耳道易积湿","幼年到成年","频繁挠耳；摇头；耳臭；耳道红肿；黑色分泌物","耳镜检查；细胞学；培养","定期清洁耳道；保持干燥","耳道清洁液；抗菌/抗真菌耳药；严重者手术(耳道切除)","轻度","定期耳部检查及清洁","可卡犬因垂耳及耳道结构高发"
"皮肤病/过敏(秋田)","Sebaceous Adenitis","皮肤","秋田犬；标准贵宾；萨摩耶","遗传倾向；免疫介导皮脂腺炎症","青年到中年(1-5岁)","脱毛；被毛质地改变；皮肤脱屑；继发感染；体味改变","皮肤活检(金标准)；细胞学","选择无病史血统；日常护理","药浴；必需脂肪酸；免疫抑制剂；抗菌药物","中度","种犬皮肤活检；定期皮肤检查","秋田犬高发；影响外观及生活质量"
"血管肉瘤(脾)","Splenic Hemangiosarcoma","其他","德牧；金毛；拉布拉多；大丹犬； pointer","遗传倾向；脾脏血管恶性肿瘤","中老年(8-13岁)","突然虚弱；腹部膨胀；牙龈苍白；急性虚脱(内出血)","腹部超声；CT；细针穿刺；血液检查","老年期定期腹部超声","脾切除；化疗(多柔比星)；支持治疗","致死性","老年期腹部超声筛查","中位生存期数月；易急性破裂出血"
"肾病(西伯利亚猫)","Feline Lower Urinary Tract Disease","肾脏","西伯利亚猫；波斯猫；异国短毛猫","遗传倾向；FIC/泌尿道综合征","成年期开始","排尿困难；血尿；频尿；尿路阻塞(公猫)","尿检；超声；尿液培养","充足饮水；处方粮；环境减压","处方粮；止痛；导尿(阻塞时)；环境管理","中度","定期尿检；超声波检查","波斯系猫高发；公猫更易阻塞"
"皮脂腺炎","Sebaceous Adenitis","皮肤","标准贵宾；秋田犬；萨摩耶；哈士奇","遗传性免疫介导；皮脂腺破坏","青年到中年(1-7岁)","脱毛；被毛质地改变(银色)；鳞屑；体味变化；继发感染","皮肤活检(金标准)；组织病理学","选择无病史血统","药浴(丙二醇；抗菌)；必需脂肪酸；免疫调节剂","中度","种犬皮肤活检；定期皮肤评估","标准贵宾高发；影响外观"
"MRD1基因突变","MDR1 Gene Mutation (Drug Sensitivity)","其他","边牧；澳洲牧羊犬；苏牧；喜乐蒂；长毛惠比特；白色瑞士牧羊犬","常染色体隐性遗传；MDR1基因突变；P-糖蛋白功能缺陷导致药物无法通过血脑屏障","出生即存在","伊维菌素等药物中毒；神经症状(流涎；共济失调；昏迷；死亡)","基因检测MDR1","基因检测；避免特定药物","支持治疗(中毒时)；停用敏感药物","致死性","基因检测MDR1；用药前筛查","敏感药物包括伊维菌素；洛哌丁胺；多柔比星等"
"听力损失/耳聋","Hereditary Deafness","其他","白猫(蓝眼)；达尔马提亚犬；澳洲牧牛犬；英国斗牛犬","常染色体遗传；与白色被毛基因(W基因)相关；耳蜗血管纹退化","出生即存在","单侧或双侧耳聋；对声音无反应","BAER(脑干听觉诱发电位)测试","避免蓝眼白猫交配；种犬BAER测试","无特效治疗；环境适应；手势训练","轻度","种猫/犬BAER测试；幼年听力评估","白猫蓝眼约65%耳聋；达尔马提亚约30%单侧耳聋"
"髋关节发育不良(犬)","Canine Hip Dysplasia","骨骼","金毛；拉布拉多；德牧；罗威纳；大丹犬；圣伯纳；藏獒；柯基","多基因遗传；髋臼与股骨头发育不匹配；遗传力0.2-0.6","4-12月龄开始显现","兔子跳步态；起床僵硬；拒绝跳跃爬楼；后腿发抖；青蛙趴休息","X光评估(OFA或PennHIP)；触诊","种犬OFA/PennHIP评分；控制幼犬生长速度；合理营养","体重管理；NSAIDs；关节保健品；严重者全髋置换手术","重度","种犬OFA/PennHIP评估；幼犬4月龄X光筛查","金毛发病率约58%；藏獒/大型犬高发"
"雪纳瑞综合征/高脂血症胰腺炎","Schnauzer Bloat Syndrome","代谢","迷你雪纳瑞","遗传性高脂血症引发胰腺炎；脂蛋白代谢异常","中老年期","呕吐；腹痛；厌食；高脂血症；糖尿病风险升高","血液生化；脂肪酶；甘油三酯；腹部超声","低脂饮食；控制体重","低脂处方粮；胰腺炎治疗；降脂药","中度","定期空腹血脂检查；腹部超声","迷你雪纳瑞特有综合征"
"肥胖相关基因突变","POMC Gene Mutation","代谢","拉布拉多；比格犬；可卡犬","POMC基因突变；β-MSH/β-内啡肽缺乏；食欲调节异常","幼年-成年期","过度食欲；肥胖；难以满足的饥饿感","基因检测POMC；体况评估","基因检测；严格饮食控制；增加饱腹感粮食","饮食管理；运动处方；低热量粮","轻度","基因检测POMC；定期体重监测","拉布拉多约25%携带；解释食欲异常原因"
"眼睑异常(京巴)","Eyelid Abnormalities","眼科","京巴；西施；巴哥；柴犬","遗传性眼睑结构异常；常合并内翻外翻","幼年期(6-12月龄)","眼睑内/外翻；流泪；角膜刺激；角膜溃疡","眼科检查；荧光素染色","选择无眼睑异常种犬","手术矫正；眼药水保护角膜","中度","种犬眼科检查；幼犬眼部评估","短头犬种高发；常双眼发病"
"短鼻眼部并发症","Brachycephalic Ocular Complications","眼科","法斗；巴哥；京巴；西施；英斗","短头颅结构导致眼球突出；眼睑闭合不全","出生即存在","眼球突出；暴露性角膜炎；角膜溃疡；眼睑内翻","眼科检查；荧光素染色","选择面部结构较正常个体；眼药水保护","眼药水润滑；手术矫正；保护角膜","中度","年度眼科检查；日常眼部护理","短头犬种高发；可导致角膜穿孔"
"心脏瓣膜病(可卡)","Mitral Valve Disease in Cockers","心脏","可卡犬；骑士查理王小猎犬","多基因遗传；二尖瓣黏液样变性","中老年(6-10岁)","心杂音；咳嗽；运动不耐受；呼吸急促；心衰","心脏听诊；心脏超声；胸部X光","种犬心脏筛查","ACE抑制剂；匹莫苯；利尿剂；心脏处方粮","重度","种犬年度心脏超声；中老年期定期听诊","可卡犬高发DCM及MVD"
"胸椎脊椎病(老犬)","Spondylosis of Older Dogs","骨骼","德牧； Boxers；大丹犬；爱尔兰赛特犬","遗传倾向；椎体边缘骨赘形成","老年(8岁以上)","背部僵硬；步态改变；通常无痛；偶发神经症状","X光；MRI(神经症状时)","控制体重；适度运动；关节保健品","NSAIDs；物理治疗；严重者手术","轻度","老年期X光筛查","多数无症状；偶然发现"
"白内障(哈士奇遗传性)","Hereditary Cataracts in Huskies","眼科","哈士奇；萨摩耶；阿拉斯加","常染色体隐性遗传(哈士奇)；幼年期发病","幼年(6月-2岁)","晶状体进行性混浊；视力下降；双眼发病","眼科检查；裂隙灯；CERF登记","种犬CERF年度检查；基因检测","手术摘除晶状体；人工晶体植入","中度","种犬CERF年度检查；幼犬眼科筛查","哈士奇幼年白内障高发；进展性"
"博美PDA/动脉导管未闭","Patent Ductus Arteriosus in Pomeranians","心脏","博美；贵宾；马尔济斯；约克夏","多基因遗传；出生后动脉导管未闭合","出生即存在；数月内显现","心杂音(连续性机器样)；运动不耐受；呼吸急促；生长缓慢；心衰","心脏超声；心电图；胸部X光","种犬心脏筛查","手术结扎；介入封堵(导管封堵器)","重度","种犬心脏超声；幼犬心杂音听诊","博美高发；及早治疗预后好"
