"disease_name","english_name","pathogen","category","susceptible_species","transmission","incubation_period","symptoms","diagnosis","treatment","prevention","mortality","is_zoonotic","severity","notes"
"钩端螺旋体病(人畜共患)","Leptospirosis","钩端螺旋体(Leptospira interrogans多个血清型)","细菌性(螺旋体)","犬;人;牛、猪、鼠等多种哺乳动物","接触带菌动物尿液或污染水、土壤;经皮肤伤口、黏膜侵入;我国南方水田、鼠区高发","4-12天(平均1-2周)","发热、寒战;头痛、肌肉痛(腓肠肌明显);黄疸;结膜充血;出血倾向;肾衰竭;肝衰竭;肺出血;脑膜炎;Weil病(重症);犬可致肝肾衰","临床症征;血清学(MAT);PCR(血、尿);ELISA;肝肾功能;排除流感、肝炎","青霉素(首选)、头孢曲松、多西环素;支持疗法;补液;透析(肾衰);对症","避免接触污染水源、鼠类;灭鼠;疫苗(犬多价苗);防护服;病犬尿液消毒;高危人群防护","未治疗重症死亡率5%-30%;及时治疗预后好","是","高","人畜共患病(我国乙类法定传染病);鼠、猪、犬为重要宿主;我国夏秋多发;水田、洪水后高发;养犬/务农/屠宰为高危职业"
"布鲁氏菌病","Brucellosis","布鲁氏菌(Brucella,羊种、牛种、猪种、犬种)","细菌性","犬(犬种布氏杆菌);人;羊、牛、猪","接触病畜组织、血液、尿液、羊水、乳汁;消化道(生奶、未熟肉);气溶胶;皮肤伤口;犬可经交配传播","1-4周(平均2周)","发热(波状热、午后高热、夜间大汗);乏力;肌肉关节痛(腰、骶髂、膝);肝脾淋巴结肿大;睾丸炎、附睾炎;流产(孕畜、孕妇);慢性可致骨关节、心脏、神经损害","血清学(试管凝集、ELISA、Rose Bengal);血培养(金标准但慢);PCR;骨髓培养;排除伤寒、风湿病","多西环素+利福平(成人,6周);多西环素+链霉素/庆大霉素;复方新诺明(儿童、孕妇);犬:四环素+氨基糖苷;支持疗法","不饮生奶;肉彻底煮熟;职业防护(手套、口罩);病畜扑杀检疫;犬定期检测;疫苗(畜用,人用少)","规范治疗预后好;不治疗可慢性化致死","是","高","人畜共患病(我国乙类法定);北方牧区高发;犬种布氏杆菌可感染人但症状轻;不孕不育常见后遗症;孕妇感染可流产"
"沙门氏菌病","Salmonellosis","沙门氏菌(Salmonella,多个血清型)","细菌性","犬;猫;人;爬行类(龟、蜥蜴);禽类","粪口传播(污染食物、水、生肉、生蛋);接触病畜粪便;污染物;爬行类宠物高带菌","6-72小时","急性胃肠炎:呕吐、腹泻(可带血、黏液)、发热、腹痛、厌食、脱水;菌血症(幼犬、幼猫、免疫低下者);慢性腹泻;人可致伤寒、败血症","粪便培养(金标准);PCR;血培养(菌血症);生化;排除细小、猫瘟","轻症自愈(补液电解质);重症抗生素(恩诺沙星、复方新诺明、头孢);禁用止泻药(延长排菌);支持疗法","不喂生肉、生蛋;肉类彻底煮熟;洗手;爬行类宠物接触后严格洗手;环境消毒;病畜隔离","健康成年动物死亡率低;幼龄、免疫低下死亡率较高","是","中","人畜共患病;爬行类(龟、蜥蜴)高带菌;生肉、生蛋是重要传染源;我国夏秋多发;耐药菌株增多"
"结核病","Tuberculosis","结核分枝杆菌(Mycobacterium tuberculosis)、牛分枝杆菌(M. bovis)","细菌性","犬;猫;人;牛","呼吸道飞沫(主要);消化道(污染奶、肉);直接接触;犬猫多由人传染","4-12周(可数月数年)","慢性咳嗽;体重下降;食欲不振;发热;淋巴结肿大;皮肤结核(结节、溃疡);骨关节结核;胃肠道症状(肠结核)","胸部X光;痰/组织培养(金标准但慢);PCR;结核菌素试验(PPD);IGRA;组织病理(干酪样坏死、抗酸杆菌)","多药联合(异烟肼+利福平+吡嗪酰胺+乙胺丁醇,6-9个月);犬猫治疗争议(多建议安乐死防传染);支持疗法","不喂生奶、生肉;结核病人不接触宠物;病畜扑杀;检疫;BCG疫苗(人,宠物少用)","犬猫死亡率高(多安乐死);人规范治疗预后好","是","高","人畜共患病(我国乙类法定);宠物多由人传染(反向人畜共患);牛分枝杆菌可经生奶传播;我国结核病高负担国;耐药结核增多"
"皮肤癣菌病(猫癣/狗癣)","Dermatophytosis (Ringworm)","犬小孢子菌(Microsporum canis,98%);石膏样小孢子菌;须发毛癣菌","真菌性","猫;犬;人;多种动物","直接接触病畜或带菌动物;间接接触污染物(梳子、毛毯、猫窝、地板);真菌孢子环境可存活1年以上","1-3周","猫:圆形/椭圆形脱毛、红斑、皮屑、结痂、瘙痒(轻);多见面部、耳、爪;犬:类似;人:圆形红斑(体癣)、头癣、股癣、甲癣;瘙痒","伍德氏灯(犬小孢子菌苹果绿荧光,约50%阳性);KOH直接镜检(菌丝、孢子);真菌培养(确诊,5-10天);PAS染色","外用抗真菌(克霉唑、酮康唑、特比萘芬乳膏,2-4周);药浴(恩康唑);口服(伊曲康唑5mg/kg,重症,4-6周);环境消毒(次氯酸);剃毛;伊丽莎白圈","环境消毒(含氯消毒剂);保持干燥通风;隔离病猫;不共用梳具;新猫隔离筛查;病猫用品暴晒","死亡率低;迁延不愈可致广泛脱毛","是","中","人畜共患病最常见之一;犬小孢子菌占98%;孢子抵抗力极强;幼猫、波斯猫、免疫力低下者高发;治疗需足疗程防复发;人常见体癣"
"耶尔森菌病","Yersiniosis","小肠结肠炎耶尔森菌(Y. enterocolitica)、伪结核耶尔森菌(Y. pseudotuberculosis)","细菌性","犬;猫;猪;啮齿类;人","粪口传播(污染水、食物);接触病畜粪便;啮齿类为宿主;污染物","4-7天(1-10天)","胃肠炎:腹泻(可带血)、腹痛(类似阑尾炎)、发热、呕吐;反应性关节炎;结节性红斑;菌血症(免疫低下);伪结核型:肠系膜淋巴结炎、败血症","粪便培养(冷增菌);PCR;血清学;血培养;排除阑尾炎","轻症自愈(补液);重症抗生素(多西环素、复方新诺明、环丙沙星、头孢);支持疗法","不饮生水;食物彻底煮熟;灭鼠;病畜隔离;接触宠物粪便后洗手;环境消毒","健康人死亡率低;免疫低下、败血症死亡率较高","是","中","人畜共患病;啮齿类(鼠)为天然宿主;可在4℃冷增菌(冰箱食物);我国冬春多发;犬猫多为带菌者;伪结核耶尔森菌可致严重败血症"
"猫抓病","Cat Scratch Disease (CSD)","汉赛巴尔通体(Bartonella henselae)","细菌性","猫(宿主,多无症状);犬偶发;人","猫抓伤、咬伤、舔舐破损皮肤;猫蚤为猫间传播媒介;猫蚤粪便侵入伤口","3-14天(可达数周)","抓伤处丘疹、脓疱;1-3周后局部淋巴结肿大(腋下、颈、腹股沟);发热、乏力、头痛;免疫低下者:肝脾肉芽肿、心内膜炎、视网膜炎、脑病","血清学(IFA、ELISA);PCR;淋巴结活检;排除其他淋巴结病因","轻症自愈;重症抗生素(阿奇霉素、多西环素、利福平);支持疗法;淋巴结化脓可穿刺","定期驱蚤(重点);剪猫指甲;避免逗弄野猫;被猫抓伤后肥皂水冲洗;免疫低下人群避免接触幼猫","死亡率低(免疫低下者较高)","是","中","人畜共患病;幼猫、流浪猫带菌率高;猫蚤是关键媒介(驱蚤重要);我国儿童多见;多数自限性;免疫低下者可严重"
"弯曲菌病","Campylobacteriosis","空肠弯曲菌(Campylobacter jejuni)","细菌性","犬;猫;禽类;猪;人","粪口传播(污染食物、水、生肉、生奶);接触病畜粪便;禽类高带菌","2-5天(1-10天)","胃肠炎:水样或黏液血便腹泻、腹痛、发热、恶心、呕吐;反应性关节炎;格林-巴利综合征(罕见);犬猫多无症状或轻度腹泻","粪便培养(微需氧、42℃);PCR;血培养(菌血症);排除沙门氏菌、志贺菌","轻症自愈(补液电解质);重症抗生素(阿奇霉素、红霉素、环丙沙星);禁用止泻药;支持疗法","不喂生肉、生奶;食物彻底煮熟;接触宠物粪便后洗手;环境消毒;病畜隔离","健康人死亡率低;格林-巴利综合征可致瘫","是","中","人畜共患病;禽类、犬猫为重要宿主;我国夏秋多发;生禽肉是重要传染源;犬猫幼龄腹泻常见病原之一"
"Q热","Q Fever","贝纳柯克斯体(Coxiella burnetii)","细菌性(立克次体)","犬;猫;牛;羊;人","吸入污染气溶胶(病畜分娩产物、胎盘、粪尿);接触病畜组织;蜱虫叮咬(次要);饮用生奶","2-3周","多数无症状或轻症流感样:高热、寒战、头痛、肌痛;肺炎;肝炎;心内膜炎(慢性、致命);孕妇可致流产;犬猫多无明显症状","血清学(IFA,急性期与恢复期4倍升高);PCR;血培养(危险);排除流感、肺炎","多西环素(首选);联合羟基氯喹(慢性心内膜炎);复方新诺明(孕妇);支持疗法;慢性需长期治疗","不饮生奶;职业防护(畜牧、兽医);病畜分娩环境消毒;焚烧胎盘;疫苗(人用,我国少用)","急性死亡率低(<2%);慢性心内膜炎死亡率高","是","高(慢性)","人畜共患病(我国乙类法定);牛羊为主要传染源;病原体对外界抵抗力极强;吸入单个细菌可致病;我国多省有报告"
"隐球菌病","Cryptococcosis","新型隐球菌(Cryptococcus neoformans)、格特隐球菌(C. gattii)","真菌性","猫(高发);犬;人","吸入环境中的隐球菌(鸽粪、土壤、腐木);不人传人、不动物传人","数周至数月(潜伏期不定)","猫:上呼吸道症状(鼻塞、脓性鼻涕、鼻梁肿胀);皮肤溃疡;眼症状(肉芽肿性视网膜炎);中枢神经(脑膜脑炎、抽搐);犬:脑膜炎、眼、皮肤","细胞学(墨汁染色、可见荚膜酵母);真菌培养;抗原检测(乳胶凝集);PCR;组织病理","抗真菌药物:氟康唑、伊曲康唑、两性霉素B+氟胞嘧啶(重症);疗程数月至1年;支持疗法","避免接触鸽粪、土壤腐木;免疫低下猫(FeLV/FIV)定期体检;环境通风;不喂生肉","未治疗死亡率高;中枢神经感染预后差","是","高","人畜共患病(但环境源为主,不直接动物传人);猫比犬易感;鸽粪为重要传染源;FeLV/FIV阳性猫高发;我国南方多见"
"犬乳头状瘤病毒感染","Canine Papillomavirus Infection","犬乳头状瘤病毒(CPV,Copiparvovirus属)","病毒性","犬(尤以幼犬、免疫低下犬)","直接接触病犬或污染物;口腔黏膜损伤侵入","1-2个月","口腔乳头状瘤(最常见):口唇、舌、牙龈多发性菜花状疣状增生物;皮肤乳头状瘤;趾间疣;多数自限性(数月自愈);免疫低下可严重","临床症征(特征性疣);活检组织病理;PCR;排除肿瘤","多数自限无需治疗;手术切除、激光、冷冻(影响进食时);干扰素;咪喹莫特;支持疗法;增强免疫","减少与病犬接触;不共用食具;环境消毒;免疫低下犬管理","健康犬死亡率低(自限);免疫低下犬可严重","否","低","口腔乳头状瘤多见于幼犬;多数1-4个月自愈;病毒有种属特异性;不传染人;免疫低下犬易严重感染"
"猫杯状病毒强毒株(VSD)","Virulent Systemic Feline Calicivirus (FCV-VSD)","猫杯状病毒强毒株(FCV-VSD)","病毒性","猫(成年猫死亡率反而高)","同FCV,飞沫、接触传播","1-5天","除FCV症状外:高热(>40℃);面部四肢水肿;皮肤溃疡(类似烫伤);黄疸;多器官衰竭;DIC;休克;进展极快","临床症征(皮肤溃疡+水肿);PCR;排除其他系统性疾病的病原","支持疗法(强);静脉输液;广谱抗生素;干扰素;免疫调节;隔离;对症;无特效药","同FCV;严格隔离;环境消毒;减少应激","死亡率50%-80%","否","极高","FCV强毒株(VSD);2000年后发现;毒力为普通株10倍;成年猫死亡率反而高(免疫介导);疫苗保护有限"
