"ingredient_name","english_name","category","sub_category","source","main_nutrient","nutritional_value","efficacy","reference_range","suitable_for","caution","is_controversial","notes"
"丝兰提取物","Yucca Schidigera Extract","添加剂","功能性添加","植物源","添加剂","含丝兰皂苷和多酚；除臭功能","减少粪便氨味；帮助肾代谢；抗炎；调节血脂","除臭粮常用；连续8周可见效果","猫狗通用","相对安全；有助于减少粪便异味","否","知名除臭成分；同时对肾代谢有益"
"左旋肉碱","L-Carnitine","添加剂","功能性添加","合成/发酵","添加剂","氨基酸衍生物；脂肪酸转运载体","促进脂肪燃烧；控制体重；支持心肌","减肥粮添加；用量约50-100 mg/kg","猫狗通用","相对安全；肥胖宠物有益","否","脂肪代谢关键物质；心衰宠物辅助"
"葡萄糖胺","Glucosamine","添加剂","关节保健","合成/动物源","添加剂","氨基糖；软骨基质合成前体","修复软骨；促进滑液分泌；保护关节","20kg犬推荐1200-1500 mg/日；猫50-100 mg/日","猫狗通用","盐酸盐形式为主；吸收率2.5%-12%","否","关节保健基础成分；与软骨素协同"
"软骨素","Chondroitin Sulfate","添加剂","关节保健","动物源","添加剂","糖胺聚糖；锁水保弹；抑制软骨降解酶","保护关节；吸收冲击；与葡萄糖胺协同","20kg犬推荐400-600 mg/日","猫狗通用","需与葡萄糖胺协同；全阶段适用","否","常以鲨鱼软骨素形式添加"
"MSM","Methylsulfonylmethane","添加剂","关节保健","合成","添加剂","有机硫化合物；提供生物活性硫","强化胶原交联；抗氧化；抗炎缓解疼痛","20kg犬推荐1000-1200 mg/日","猫狗通用","有疼痛或炎症时效果明显","否","关节保健黄金三角之一（氨糖+软骨素+MSM）"
"BHA","Butylated Hydroxyanisole","有害成分","合成防腐剂","合成","添加剂","合成酚类抗氧化剂；防止脂肪氧化","防腐；延长保质期","FDA限脂肪量0.02%；日本BHA+BHT+乙氧基喹啉合计≤150ppm","不推荐","NTP列为可能致癌物；致胃膀胱肿瘤；蓄积肝肾损伤","是","欧盟及加州Prop 65列为致癌物；优质粮已弃用"
"BHT","Butylated Hydroxytoluene","有害成分","合成防腐剂","合成","添加剂","合成酚类抗氧化剂；BHA化学类似物","防腐；抗氧化","EFSA评估动物饲料≤150mg/kg安全","不推荐","高剂量致肝损伤；内分泌干扰；致癌争议","是","与BHA常配合使用；优质粮已弃用"
"乙氧基喹啉","Ethoxyquin","有害成分","合成防腐剂","合成","添加剂","有机氮合成抗氧化剂；原本用于橡胶工业","强效抗氧化；保护鱼粉维生素A","日本猫≤150ppm；犬≤75ppm","不推荐","欧盟已禁用；疑似致癌和遗传毒性；致脱毛皮肤病","是","欧盟禁用；鱼粉加工中常使用；优质粮已弃用"
"人工色素","Artificial Colors","有害成分","着色剂","合成","添加剂","合成色素（柠檬黄、日落黄、诱惑红等）","纯为迎合人类视觉；对宠物无意义","无营养必要；应避免","不推荐","对宠物无意义；加重肝脏代谢负担；可能致敏","是","优质粮不添加；只为美观"
"丙二醇","Propylene Glycol","有害成分","保湿剂","合成","添加剂","保湿剂和防腐剂；保持半湿粮口感","保湿；防腐；增味","猫粮禁用（FDA）；犬粮有限使用","不推荐（猫禁用）","致猫海因茨体溶血性贫血；猫禁用","是","FDA已禁用于猫粮；犬粮仍有使用"
"木薯毒性","Cassava Toxicity","有害成分","天然毒素","植物源","毒素","生木薯含氰苷（亚麻苦苷）；加工不当残留","无营养作用；为毒性风险","需充分加工去毒","猫狗通用","生木薯含氰化物前体；必须加工去毒；过量致氰化物中毒","是","配料表常见木薯/木薯粉；需确保加工充分"
"黄曲霉毒素","Aflatoxins","有害成分","真菌毒素","真菌污染","毒素","真菌毒素；玉米花生等霉变产生；强致癌","无营养作用；为安全风险","宠物饲料黄曲霉毒素B1≤10 μg/kg（国标）","猫狗通用","强致癌物；致肝损伤、免疫抑制、死亡","是","2026年国标新增多项真菌毒素检测；霉变谷物风险高"
